REGION TYPE,REGION,YEAR,WEEK,% WEIGHTED ILI,%UNWEIGHTED ILI,AGE 0-4,AGE 25-49,AGE 25-64,AGE 5-24,AGE 50-64,AGE 65,ILITOTAL,NUM. OF PROVIDERS,TOTAL PATIENTS
States,Texas,2015,40,X,3.1748,X,X,X,X,X,X,1016,126,32002
States,Texas,2015,41,X,3.42995,X,X,X,X,X,X,1084,124,31604
States,Texas,2015,42,X,3.63057,X,X,X,X,X,X,1162,122,32006
States,Texas,2015,43,X,3.84937,X,X,X,X,X,X,1152,123,29927
States,Texas,2015,44,X,3.47839,X,X,X,X,X,X,1143,126,32860
States,Texas,2015,45,X,3.86243,X,X,X,X,X,X,1214,123,31431
States,Texas,2015,46,X,3.96778,X,X,X,X,X,X,1266,123,31907
States,Texas,2015,47,X,4.81392,X,X,X,X,X,X,1071,122,22248
States,Texas,2015,48,X,4.43529,X,X,X,X,X,X,1411,122,31813
States,Texas,2015,49,X,4.49576,X,X,X,X,X,X,1320,119,29361
States,Texas,2015,50,X,4.67202,X,X,X,X,X,X,1391,121,29773
States,Texas,2015,51,X,5.12797,X,X,X,X,X,X,1110,121,21646
States,Texas,2015,52,X,5.70737,X,X,X,X,X,X,1274,120,22322
States,Texas,2016,1,X,4.68602,X,X,X,X,X,X,1282,120,27358
States,Texas,2016,2,X,4.16846,X,X,X,X,X,X,1164,121,27924
States,Texas,2016,3,X,4.36048,X,X,X,X,X,X,1318,123,30226
States,Texas,2016,4,X,4.96129,X,X,X,X,X,X,1551,122,31262
States,Texas,2016,5,X,4.89241,X,X,X,X,X,X,1512,123,30905
States,Texas,2016,6,X,5.62804,X,X,X,X,X,X,1816,122,32267
States,Texas,2016,7,X,6.36256,X,X,X,X,X,X,2035,120,31984
States,Texas,2016,8,X,4.48169,X,X,X,X,X,X,1147,86,25593
States,Texas,2016,9,X,4.7195,X,X,X,X,X,X,1203,83,25490
States,Texas,2016,10,X,4.01485,X,X,X,X,X,X,941,81,23438
States,Texas,2016,11,X,3.73119,X,X,X,X,X,X,749,81,20074
States,Texas,2016,12,X,3.46318,X,X,X,X,X,X,777,81,22436
States,Texas,2016,13,X,3.2444,X,X,X,X,X,X,760,80,23425
States,Texas,2016,14,X,2.83508,X,X,X,X,X,X,569,61,20070
States,Texas,2016,15,X,3.25267,X,X,X,X,X,X,789,77,24257
States,Texas,2016,16,X,3.57929,X,X,X,X,X,X,846,75,23636
States,Texas,2016,17,X,3.0393,X,X,X,X,X,X,747,79,24578
States,Texas,2016,18,X,2.74919,X,X,X,X,X,X,617,77,22443
States,Texas,2016,19,X,2.30401,X,X,X,X,X,X,472,73,20486
States,Texas,2016,20,X,2.35638,X,X,X,X,X,X,459,76,19479
States,Texas,2016,21,X,2.78809,X,X,X,X,X,X,518,74,18579
States,Texas,2016,22,X,2.47401,X,X,X,X,X,X,395,72,15966
States,Texas,2016,23,X,1.99249,X,X,X,X,X,X,276,49,13852
States,Texas,2016,24,X,2.1005,X,X,X,X,X,X,362,69,17234
States,Texas,2016,25,X,1.87159,X,X,X,X,X,X,316,68,16884
States,Texas,2016,26,X,1.84575,X,X,X,X,X,X,297,65,16091
States,Texas,2016,27,X,1.66667,X,X,X,X,X,X,248,68,14880
States,Texas,2016,28,X,1.55492,X,X,X,X,X,X,189,68,12155
States,Texas,2016,29,X,1.42177,X,X,X,X,X,X,239,67,16810
States,Texas,2016,30,X,1.57115,X,X,X,X,X,X,261,67,16612
States,Texas,2016,31,X,1.27404,X,X,X,X,X,X,216,67,16954
States,Texas,2016,32,X,1.30064,X,X,X,X,X,X,209,62,16069
States,Texas,2016,33,X,1.31155,X,X,X,X,X,X,224,65,17079
States,Texas,2016,34,X,1.76582,X,X,X,X,X,X,336,66,19028
States,Texas,2016,35,X,2.89706,X,X,X,X,X,X,423,64,14601
States,Texas,2016,36,X,3.0076,X,X,X,X,X,X,534,63,17755
States,Texas,2016,37,X,2.60465,X,X,X,X,X,X,509,61,19542
States,Texas,2016,38,X,2.57309,X,X,X,X,X,X,367,60,14263
States,Texas,2016,39,X,2.75084,X,X,X,X,X,X,400,60,14541
States,Texas,2016,40,X,2.08692,X,X,X,X,X,X,654,120,31338
States,Texas,2016,41,X,1.95234,X,X,X,X,X,X,571,117,29247
States,Texas,2016,42,X,1.84806,X,X,X,X,X,X,541,114,29274
States,Texas,2016,43,X,2.06247,X,X,X,X,X,X,589,114,28558
States,Texas,2016,44,X,2.01191,X,X,X,X,X,X,581,112,28878
States,Texas,2016,45,X,2.08512,X,X,X,X,X,X,607,116,29111
States,Texas,2016,46,X,2.24903,X,X,X,X,X,X,673,116,29924
States,Texas,2016,47,X,2.59299,X,X,X,X,X,X,550,114,21211
States,Texas,2016,48,X,2.49507,X,X,X,X,X,X,696,112,27895
States,Texas,2016,49,X,3.06871,X,X,X,X,X,X,816,113,26591
States,Texas,2016,50,X,3.41272,X,X,X,X,X,X,887,111,25991
States,Texas,2016,51,X,4.10321,X,X,X,X,X,X,951,108,23177
States,Texas,2016,52,X,4.32471,X,X,X,X,X,X,960,109,22198
States,Texas,2017,1,X,4.19085,X,X,X,X,X,X,1076,113,25675
States,Texas,2017,2,X,5.06267,X,X,X,X,X,X,1450,112,28641
States,Texas,2017,3,X,5.47691,X,X,X,X,X,X,1563,112,28538
States,Texas,2017,4,X,6.20619,X,X,X,X,X,X,1868,109,30099
States,Texas,2017,5,X,8.48188,X,X,X,X,X,X,2774,112,32705
States,Texas,2017,6,X,10.2826,X,X,X,X,X,X,3508,113,34116
States,Texas,2017,7,X,9.2512,X,X,X,X,X,X,2592,90,28018
States,Texas,2017,8,X,8.99901,X,X,X,X,X,X,2635,106,29281
States,Texas,2017,9,X,7.50649,X,X,X,X,X,X,2256,107,30054
States,Texas,2017,10,X,7.26928,X,X,X,X,X,X,2107,105,28985
States,Texas,2017,11,X,5.85242,X,X,X,X,X,X,1403,104,23973
States,Texas,2017,12,X,4.48645,X,X,X,X,X,X,1258,104,28040
States,Texas,2017,13,X,4.00722,X,X,X,X,X,X,1065,101,26577
States,Texas,2017,14,X,3.50145,X,X,X,X,X,X,906,101,25875
States,Texas,2017,15,X,3.41597,X,X,X,X,X,X,835,99,24444
States,Texas,2017,16,X,3.39009,X,X,X,X,X,X,665,83,19616
States,Texas,2017,17,X,2.76932,X,X,X,X,X,X,755,101,27263
States,Texas,2017,18,X,2.62245,X,X,X,X,X,X,665,97,25358
States,Texas,2017,19,X,1.72152,X,X,X,X,X,X,419,98,24339
States,Texas,2017,20,X,2.30259,X,X,X,X,X,X,552,98,23973
States,Texas,2017,21,X,2.14023,X,X,X,X,X,X,471,94,22007
States,Texas,2017,22,X,1.79865,X,X,X,X,X,X,360,93,20015
States,Texas,2017,23,X,1.79529,X,X,X,X,X,X,385,96,21445
States,Texas,2017,24,X,1.57771,X,X,X,X,X,X,329,95,20853
States,Texas,2017,25,X,1.50002,X,X,X,X,X,X,302,92,20133
States,Texas,2017,26,X,1.52211,X,X,X,X,X,X,252,78,16556
States,Texas,2017,27,X,1.39677,X,X,X,X,X,X,256,94,18328
States,Texas,2017,28,X,1.21989,X,X,X,X,X,X,238,95,19510
States,Texas,2017,29,X,1.33324,X,X,X,X,X,X,182,77,13651
States,Texas,2017,30,X,1.33018,X,X,X,X,X,X,264,94,19847
States,Texas,2017,31,X,1.27357,X,X,X,X,X,X,260,95,20415
States,Texas,2017,32,X,1.04005,X,X,X,X,X,X,214,94,20576
States,Texas,2017,33,X,1.10367,X,X,X,X,X,X,206,80,18665
States,Texas,2017,34,X,1.8906,X,X,X,X,X,X,347,77,18354
States,Texas,2017,35,X,1.895,X,X,X,X,X,X,331,76,17467
States,Texas,2017,36,X,2.01905,X,X,X,X,X,X,371,75,18375
States,Texas,2017,37,X,1.93658,X,X,X,X,X,X,477,92,24631
States,Texas,2017,38,X,1.77468,X,X,X,X,X,X,448,93,25244
States,Texas,2017,39,X,1.9715,X,X,X,X,X,X,494,90,25057
States,Texas,2017,40,X,2.15321,X,X,X,X,X,X,642,111,29816
States,Texas,2017,41,X,2.22464,X,X,X,X,X,X,654,113,29398
States,Texas,2017,42,X,2.13774,X,X,X,X,X,X,641,111,29985
States,Texas,2017,43,X,2.34254,X,X,X,X,X,X,710,111,30309
States,Texas,2017,44,X,3.24542,X,X,X,X,X,X,774,76,23849
States,Texas,2017,45,X,3.67219,X,X,X,X,X,X,1109,109,30200
States,Texas,2017,46,X,4.41976,X,X,X,X,X,X,1365,109,30884
States,Texas,2017,47,X,4.57186,X,X,X,X,X,X,1023,111,22376
States,Texas,2017,48,X,5.26676,X,X,X,X,X,X,1541,112,29259
States,Texas,2017,49,X,5.83165,X,X,X,X,X,X,1678,111,28774
States,Texas,2017,50,X,9.36695,X,X,X,X,X,X,2764,110,29508
States,Texas,2017,51,X,13.449,X,X,X,X,X,X,3938,105,29281
States,Texas,2017,52,X,10.9528,X,X,X,X,X,X,1830,68,16708
States,Texas,2018,1,X,12.5909,X,X,X,X,X,X,3428,108,27226
States,Texas,2018,2,X,12.8689,X,X,X,X,X,X,4047,107,31448
States,Texas,2018,3,X,13.0336,X,X,X,X,X,X,3966,110,30429
States,Texas,2018,4,X,14.5657,X,X,X,X,X,X,5203,110,35721
States,Texas,2018,5,X,13.9335,X,X,X,X,X,X,4996,109,35856
States,Texas,2018,6,X,12.9045,X,X,X,X,X,X,4450,110,34484
States,Texas,2018,7,X,10.9435,X,X,X,X,X,X,3598,109,32878
States,Texas,2018,8,X,8.27868,X,X,X,X,X,X,2638,109,31865
States,Texas,2018,9,X,6.07416,X,X,X,X,X,X,1833,106,30177
States,Texas,2018,10,X,4.85631,X,X,X,X,X,X,1286,103,26481
States,Texas,2018,11,X,3.71923,X,X,X,X,X,X,816,101,21940
States,Texas,2018,12,X,3.07753,X,X,X,X,X,X,853,104,27717
States,Texas,2018,13,X,3.51379,X,X,X,X,X,X,762,100,21686
States,Texas,2018,14,X,2.93401,X,X,X,X,X,X,530,88,18064
States,Texas,2018,15,X,2.45258,X,X,X,X,X,X,437,85,17818
States,Texas,2018,16,X,2.46861,X,X,X,X,X,X,696,103,28194
States,Texas,2018,17,X,2.29361,X,X,X,X,X,X,624,102,27206
States,Texas,2018,18,X,2.30994,X,X,X,X,X,X,570,98,24676
States,Texas,2018,19,X,2.16706,X,X,X,X,X,X,509,96,23488
States,Texas,2018,20,X,1.69425,X,X,X,X,X,X,391,95,23078
States,Texas,2018,21,X,1.95167,X,X,X,X,X,X,441,94,22596
States,Texas,2018,22,X,1.70382,X,X,X,X,X,X,334,92,19603
States,Texas,2018,23,X,1.57834,X,X,X,X,X,X,316,90,20021
States,Texas,2018,24,X,1.59816,X,X,X,X,X,X,320,92,20023
States,Texas,2018,25,X,1.32682,X,X,X,X,X,X,250,91,18842
States,Texas,2018,26,X,1.7444,X,X,X,X,X,X,288,90,16510
States,Texas,2018,27,X,1.27277,X,X,X,X,X,X,211,90,16578
States,Texas,2018,28,X,1.35064,X,X,X,X,X,X,256,91,18954
States,Texas,2018,29,X,1.06927,X,X,X,X,X,X,203,90,18985
States,Texas,2018,30,X,1.02062,X,X,X,X,X,X,197,90,19302
States,Texas,2018,31,X,1.05115,X,X,X,X,X,X,209,90,19883
States,Texas,2018,32,X,1.31924,X,X,X,X,X,X,156,51,11825
States,Texas,2018,33,X,0.988875,X,X,X,X,X,X,184,88,18607
States,Texas,2018,34,X,1.39918,X,X,X,X,X,X,270,88,19297
States,Texas,2018,35,X,1.20577,X,X,X,X,X,X,244,78,20236
States,Texas,2018,36,X,1.94818,X,X,X,X,X,X,382,93,19608
States,Texas,2018,37,X,2.13464,X,X,X,X,X,X,449,91,21034
States,Texas,2018,38,X,1.88542,X,X,X,X,X,X,465,93,24663
States,Texas,2018,39,X,2.1767,X,X,X,X,X,X,561,96,25773
States,Texas,2018,40,X,2.57487,X,X,X,X,X,X,730,108,28351
States,Texas,2018,41,X,2.12283,X,X,X,X,X,X,589,107,27746
States,Texas,2018,42,X,2.20848,X,X,X,X,X,X,607,107,27485
States,Texas,2018,43,X,2.63998,X,X,X,X,X,X,761,107,28826
States,Texas,2018,44,X,2.8987,X,X,X,X,X,X,831,109,28668
States,Texas,2018,45,X,3.16233,X,X,X,X,X,X,945,111,29883
States,Texas,2018,46,X,3.38883,X,X,X,X,X,X,973,111,28712
States,Texas,2018,47,X,3.67031,X,X,X,X,X,X,806,111,21960
States,Texas,2018,48,X,3.58931,X,X,X,X,X,X,1104,110,30758
States,Texas,2018,49,X,3.57419,X,X,X,X,X,X,1017,110,28454
States,Texas,2018,50,X,4.13873,X,X,X,X,X,X,1148,110,27738
States,Texas,2018,51,X,4.95303,X,X,X,X,X,X,1255,102,25338
States,Texas,2018,52,X,6.40128,X,X,X,X,X,X,1317,102,20574
States,Texas,2019,1,X,5.11093,X,X,X,X,X,X,1244,111,24340
States,Texas,2019,2,X,4.66314,X,X,X,X,X,X,1331,111,28543
States,Texas,2019,3,X,5.57504,X,X,X,X,X,X,1621,114,29076
States,Texas,2019,4,X,7.07857,X,X,X,X,X,X,2092,116,29554
States,Texas,2019,5,X,8.58413,X,X,X,X,X,X,2684,113,31267
States,Texas,2019,6,X,10.165,X,X,X,X,X,X,3363,116,33084
States,Texas,2019,7,X,10.203,X,X,X,X,X,X,3277,117,32118
States,Texas,2019,8,X,9.28852,X,X,X,X,X,X,2910,116,31329
States,Texas,2019,9,X,9.54986,X,X,X,X,X,X,3055,117,31990
States,Texas,2019,10,X,8.74129,X,X,X,X,X,X,2723,118,31151
States,Texas,2019,11,X,7.83312,X,X,X,X,X,X,2101,115,26822
States,Texas,2019,12,X,5.80826,X,X,X,X,X,X,1757,118,30250
States,Texas,2019,13,X,4.90247,X,X,X,X,X,X,1405,113,28659
States,Texas,2019,14,X,4.41071,X,X,X,X,X,X,1226,115,27796
States,Texas,2019,15,X,3.9139,X,X,X,X,X,X,1131,116,28897
States,Texas,2019,16,X,3.42261,X,X,X,X,X,X,929,114,27143
States,Texas,2019,17,X,2.70961,X,X,X,X,X,X,657,98,24247
States,Texas,2019,18,X,2.57196,X,X,X,X,X,X,722,113,28072
States,Texas,2019,19,X,2.51409,X,X,X,X,X,X,620,102,24661
States,Texas,2019,20,X,2.51157,X,X,X,X,X,X,597,104,23770
States,Texas,2019,21,X,2.91262,X,X,X,X,X,X,507,65,17407
States,Texas,2019,22,X,2.23086,X,X,X,X,X,X,442,98,19813
States,Texas,2019,23,X,2.20845,X,X,X,X,X,X,474,95,21463
States,Texas,2019,24,X,2.25626,X,X,X,X,X,X,461,90,20432
States,Texas,2019,25,X,1.99168,X,X,X,X,X,X,407,96,20435
States,Texas,2019,26,X,1.93911,X,X,X,X,X,X,300,56,15471
States,Texas,2019,27,X,1.80349,X,X,X,X,X,X,328,94,18187
States,Texas,2019,28,X,1.63544,X,X,X,X,X,X,254,58,15531
States,Texas,2019,29,X,1.35155,X,X,X,X,X,X,281,96,20791
States,Texas,2019,30,X,1.58026,X,X,X,X,X,X,317,94,20060
States,Texas,2019,31,X,1.3381,X,X,X,X,X,X,281,94,21000
States,Texas,2019,32,X,1.18368,X,X,X,X,X,X,253,93,21374
States,Texas,2019,33,X,0.879297,X,X,X,X,X,X,198,89,22518
States,Texas,2019,34,X,1.26906,X,X,X,X,X,X,298,92,23482
States,Texas,2019,35,X,1.84147,X,X,X,X,X,X,450,94,24437
States,Texas,2019,36,X,1.95441,X,X,X,X,X,X,451,93,23076
States,Texas,2019,37,X,2.14706,X,X,X,X,X,X,544,93,25337
States,Texas,2019,38,X,1.84213,X,X,X,X,X,X,386,78,20954
States,Texas,2019,39,X,2.07264,X,X,X,X,X,X,521,92,25137
States,Texas,2019,40,X,2.1399,X,X,X,X,X,X,640,115,29908
States,Texas,2019,41,X,2.54297,X,X,X,X,X,X,759,116,29847
States,Texas,2019,42,X,2.55285,X,X,X,X,X,X,768,119,30084
States,Texas,2019,43,X,3.23872,X,X,X,X,X,X,987,117,30475
States,Texas,2019,44,X,3.70212,X,X,X,X,X,X,1124,121,30361
States,Texas,2019,45,X,4.73487,X,X,X,X,X,X,1501,116,31701
States,Texas,2019,46,X,4.78979,X,X,X,X,X,X,1456,111,30398
States,Texas,2019,47,X,6.49962,X,X,X,X,X,X,2114,114,32525
States,Texas,2019,48,X,7.33775,X,X,X,X,X,X,1783,117,24299
States,Texas,2019,49,X,6.06795,X,X,X,X,X,X,1902,111,31345
States,Texas,2019,50,X,8.66833,X,X,X,X,X,X,2124,98,24503
States,Texas,2019,51,X,11.7639,X,X,X,X,X,X,2605,93,22144
States,Texas,2019,52,X,15.2711,X,X,X,X,X,X,2349,91,15382
States,Texas,2020,1,X,11.1836,X,X,X,X,X,X,2933,114,26226
States,Texas,2020,2,X,10.007,X,X,X,X,X,X,3008,116,30059
States,Texas,2020,3,X,10.6001,X,X,X,X,X,X,3100,114,29245
States,Texas,2020,4,X,10.8121,X,X,X,X,X,X,3459,114,31992
States,Texas,2020,5,X,11.2149,X,X,X,X,X,X,3818,117,34044
States,Texas,2020,6,X,10.7991,X,X,X,X,X,X,3100,118,28706
States,Texas,2020,7,X,9.67974,X,X,X,X,X,X,3098,115,32005
States,Texas,2020,8,X,8.9848,X,X,X,X,X,X,2902,116,32299
States,Texas,2020,9,X,7.76767,X,X,X,X,X,X,2458,112,31644
States,Texas,2020,10,X,8.06613,X,X,X,X,X,X,2415,106,29940
States,Texas,2020,11,X,6.97331,X,X,X,X,X,X,1792,109,25698
States,Texas,2020,12,X,8.17899,X,X,X,X,X,X,1921,102,23487
States,Texas,2020,13,X,4.73626,X,X,X,X,X,X,730,102,15413
States,Texas,2020,14,X,3.40379,X,X,X,X,X,X,401,94,11781
States,Texas,2020,15,X,2.95355,X,X,X,X,X,X,344,101,11647
States,Texas,2020,16,X,2.11486,X,X,X,X,X,X,232,96,10970
States,Texas,2020,17,X,2.01192,X,X,X,X,X,X,216,94,10736
States,Texas,2020,18,X,1.50659,X,X,X,X,X,X,128,78,8496
States,Texas,2020,19,X,1.24559,X,X,X,X,X,X,166,92,13327
States,Texas,2020,20,X,1.15489,X,X,X,X,X,X,153,92,13248
States,Texas,2020,21,X,1.17085,X,X,X,X,X,X,152,88,12982
States,Texas,2020,22,X,1.17903,X,X,X,X,X,X,141,82,11959
States,Texas,2020,23,X,1.29584,X,X,X,X,X,X,188,84,14508
States,Texas,2020,24,X,1.48445,X,X,X,X,X,X,178,72,11991
States,Texas,2020,25,X,1.57013,X,X,X,X,X,X,267,81,17005
States,Texas,2020,26,X,2.00472,X,X,X,X,X,X,348,78,17359
States,Texas,2020,27,X,2.27468,X,X,X,X,X,X,185,69,8133
States,Texas,2020,28,X,2.00485,X,X,X,X,X,X,339,79,16909
States,Texas,2020,29,X,1.93511,X,X,X,X,X,X,300,77,15503
States,Texas,2020,30,X,1.75671,X,X,X,X,X,X,279,77,15882
States,Texas,2020,31,X,1.29616,X,X,X,X,X,X,192,79,14813
States,Texas,2020,32,X,1.29878,X,X,X,X,X,X,225,80,17324
States,Texas,2020,33,X,1.13144,X,X,X,X,X,X,180,79,15909
States,Texas,2020,34,X,1.11167,X,X,X,X,X,X,89,30,8006
States,Texas,2020,35,X,0.811312,X,X,X,X,X,X,70,65,8628
States,Texas,2020,36,X,0.956881,X,X,X,X,X,X,81,30,8465
