Date,Value
201501,44
201502,48.2
201503,56.2
201504,66.6
201505,71.6
201506,79.3
201507,83.2
201508,83.3
201509,79.2
201510,69.2
201511,57.3
201512,51.5
201601,46.4
201602,54.4
201603,61.2
201604,66.1
201605,71.6
201606,80.1
201607,85.4
201608,81.5
201609,77.6
201610,70.9
201611,61
201612,49.6
201701,50.8
201702,58.4
201703,63.6
201704,67.1
201705,72
201706,80.6
201707,83.6
201708,80.6
201709,76.5
201710,66.5
201711,60.3
201712,47.8
201801,43.8
201802,52.3
201803,61.7
201804,63
201805,78
201806,83.9
201807,84.5
201808,83
201809,76.2
201810,65.4
201811,51.9
201812,48.3
201901,47.2
201902,51.9
201903,55.7
201904,65
201905,72.5
201906,79.1
201907,82.8
201908,85.9
201909,81.5
201910,65.2
201911,53.2
201912,50.7
202001,50.7
202002,49.4
202003,63.2
202004,65.1
202005,74.6
202006,80.7
202007,85.2
202008,84.4
202009,74.1
202010,65.9
202011,60.6
202012,48.5
202101,47.3
202102,44
202103,59.4
202104,63.7
202105,71.9
202106,80.3
202107,80.9
202108,81.9
202109,78.2
202110,69.8
202111,57.3
202112,59.1
202201,45.8
202202,45.8
202203,57
202204,68.8
202205,78
202206,83.8
202207,87.2
202208,83.4
202209,77.8
202210,66.4
202211,54
202212,50
202301,51.6
202302,52.1
202303,60.4
202304,64.7
202305,73.8
202306,82.3
202307,86.3
202308,87.5
202309,81.8
202310,68.4
202311,56.5
202312,51.8
202401,44.2
202402,56.2
202403,60.4
202404,67.9
202405,76.9
202406,83.3
202407,82.9
202408,85.8
202409,77.5
202410,72.8
202411,60.8
202412,54.2
202501,42.7
202502,51.6
202503,62.9
202504,68.7
202505,74.2
202506,81.3
202507,82.1
202508,83.4